"Category","Annual Mean","5-yr smooth"
"1901",25.44,25.43
"1902",25.43,25.26
"1903",25.1,25.1
"1904",24.49,24.96
"1905",24.85,24.86
"1906",25.14,24.8
"1907",24.81,24.79
"1908",24.81,24.82
"1909",25.03,24.88
"1910",24.82,24.95
"1911",24.76,25.01
"1912",25.13,25.05
"1913",24.91,25.05
"1914",25.12,25.04
"1915",25.56,25.02
"1916",24.92,24.99
"1917",24.67,24.96
"1918",24.54,24.94
"1919",25.16,24.92
"1920",25.1,24.92
"1921",24.88,24.92
"1922",25.13,24.94
"1923",24.78,24.97
"1924",25.09,25.01
"1925",24.89,25.05
"1926",25.08,25.1
"1927",25.2,25.14
"1928",25.31,25.18
"1929",24.9,25.21
"1930",25.33,25.23
"1931",25.69,25.26
"1932",25.13,25.28
"1933",25.35,25.29
"1934",24.97,25.31
"1935",25.27,25.32
"1936",25.33,25.32
"1937",25.48,25.32
"1938",25.32,25.31
"1939",25.25,25.29
"1940",25.29,25.28
"1941",25.41,25.27
"1942",25.33,25.28
"1943",25.18,25.3
"1944",25.26,25.33
"1945",25.19,25.37
"1946",25.49,25.4
"1947",25.72,25.42
"1948",25.47,25.4
"1949",25.12,25.36
"1950",25.13,25.31
"1951",25.28,25.25
"1952",25.36,25.2
"1953",25.33,25.18
"1954",25.25,25.18
"1955",25.02,25.2
"1956",24.99,25.23
"1957",25.31,25.25
"1958",25.3,25.25
"1959",25.28,25.23
"1960",25.32,25.19
"1961",25.16,25.14
"1962",25.05,25.1
"1963",24.9,25.09
"1964",25.21,25.1
"1965",25.03,25.13
"1966",25.48,25.17
"1967",24.93,25.21
"1968",25.1,25.24
"1969",25.41,25.25
"1970",25.51,25.24
"1971",24.87,25.23
"1972",25.15,25.21
"1973",25.46,25.2
"1974",25.24,25.21
"1975",25.19,25.24
"1976",25.02,25.27
"1977",25.39,25.32
"1978",25.4,25.36
"1979",25.52,25.39
"1980",25.58,25.42
"1981",25.2,25.44
"1982",25.32,25.47
"1983",25.71,25.49
"1984",25.47,25.53
"1985",25.57,25.59
"1986",25.46,25.64
"1987",25.98,25.69
"1988",25.93,25.73
"1989",25.48,25.75
"1990",25.74,25.75
"1991",25.73,25.72
"1992",25.61,25.69
"1993",25.67,25.67
"1994",25.79,25.66
"1995",25.66,25.67
"1996",25.54,25.71
"1997",25.63,25.75
"1998",26.31,25.79
"1999",25.66,25.82
"2000",25.79,25.84
"2001",25.85,25.83
"2002",25.73,25.81
"2003",25.61,25.78
"2004",25.7,25.74
"2005",25.8,25.71
"2006",25.86,25.69
"2007",25.85,25.68
"2008",25.52,25.68
"2009",25.56,25.69
"2010",25.83,25.72
"2011",25.63,25.77
"2012",25.93,25.82
"2013",25.94,25.88
"2014",25.78,25.95
"2015",26.02,26.01
"2016",26.36,26.06
"2017",25.91,26.11
"2018",26.11,26.16
"2019",26.18,26.2
"2020",26.3,26.24
