Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,200.71,71.33,83.9,104.47,171.48,240.18,369.61,334.85,300.42,172.91,157.88,145.23
1902,104.91,76.38,29.11,65.47,159.83,215.48,294.38,186.95,229.93,321.13,265.3,243.02
1903,213.96,148.51,74.88,168.11,176.83,314.26,320.92,315.2,237.13,274.7,246.13,100.63
1904,43.65,43.07,69.9,69.94,155.63,257.19,365.41,301.64,316.6,212.99,119.49,137.9
1905,121.81,50.26,87.53,81.8,290.16,252.81,222.03,303.5,374.25,298.28,338.38,143
1906,148.29,141.54,90.65,74.32,116.71,196.87,307.68,316.69,239.42,216.33,159.4,256.36
1907,128.87,177.12,115.4,76.91,261.89,286.05,297.98,265.32,318.55,304.88,346.07,309.84
1908,105.86,107.36,139.15,63.11,178.78,227.7,362.71,204.79,310.69,318.47,301.11,286.37
1909,146.26,167.81,138.88,188.97,232.11,253.39,153.27,328.68,351.4,260.98,327.34,262.51
1910,70.24,133.19,83.22,160.37,168.5,262.79,434.73,365.34,312.83,196.77,66.57,160.73
1911,87.16,87.5,25.93,59.15,71.8,167.74,326.54,322.49,305.9,338.45,261.9,123.57
1912,136.02,85.4,61.09,107.72,180.52,253.51,389.25,309.28,221.43,264.45,141.33,167.52
1913,70.28,28.04,78.72,81.23,175.3,411.12,227.91,362.7,279.51,161.85,102.66,104.84
1914,87.05,22.56,46.19,49.56,174.32,262.21,262,263.62,225.2,365.45,262.87,293.63
1915,299.09,158.65,128.07,106.63,219.94,282.03,247.73,263.49,368.33,333.41,200.15,243.27
1916,188.94,114.32,128.61,100.39,224.66,325.91,297.99,258.52,287.85,311.69,281.44,196.73
1917,215.82,135.09,148.79,103.16,159.57,437.99,210.3,308.44,198.11,292.98,112.35,150.92
1918,59.7,61.34,51.71,54.68,170.09,220.31,536.54,275.02,224.21,322.91,237.74,196.39
1919,132.46,108.52,60.98,73.34,134.9,352.5,267.19,180.44,315.15,241.29,196.49,191.53
