Year,Philippines,Cordillera Administrative region (CAR),National Capital region (NCR),Region I (Ilocos region),Region II (Cagayan Valley),Region V (Bicol region),Region VI (Western Visayas),Region VII (Central Visayas),Region VIII (Eastern Visayas),Region XIII (Caraga),Autonomous region in Muslim Mindanao (ARMM),Region IX (Zamboanga Peninsula),Region X (Northern Mindanao),Region XI (Davao Region),Region XII (Soccsksargen),Region III (Central Luzon),Region IV-A (Calabarzon),Region IV (Southern Tagalog)
1901,29.88,27.2,30.52,28.92,28.95,30.7,30.5,30.89,30.77,30.66,30.22,31.21,29.53,29.73,30.08,30.02,30.4,30.28
1902,29.87,27.42,30.57,29.12,29.16,30.61,30.32,30.73,30.61,30.59,30.16,31.12,29.45,29.69,30.04,30.14,30.41,30.14
1903,29.37,27.25,30.26,28.88,28.96,30.06,29.68,30.1,29.97,29.91,29.48,30.4,28.74,29.01,29.32,29.84,30.06,29.7
1904,28.76,26.66,29.61,28.27,28.37,29.38,28.95,29.43,29.29,29.39,28.92,29.78,28.17,28.54,28.83,29.19,29.38,28.98
1905,29.34,27.46,30.34,29.08,29.17,29.99,29.43,29.87,29.74,29.8,29.39,30.27,28.63,28.96,29.27,29.97,30.07,29.5
1906,29.6,27.56,30.59,29.21,29.3,30.3,29.79,30.2,30.09,30.13,29.66,30.58,28.96,29.23,29.53,30.21,30.33,29.79
1907,29.28,27.42,30.36,29.06,29.14,29.99,29.39,29.82,29.7,29.77,29.24,30.12,28.58,28.89,29.16,29.99,30.08,29.38
1908,29.2,27.12,30.13,28.77,28.84,29.88,29.34,29.79,29.71,29.81,29.33,30.2,28.63,28.96,29.21,29.72,29.89,29.36
1909,29.46,27.58,30.48,29.2,29.29,30.15,29.58,30.03,29.93,29.96,29.46,30.35,28.77,29.06,29.34,30.11,30.23,29.59
1910,29.17,27.01,30.02,28.65,28.74,29.8,29.38,29.84,29.71,29.82,29.36,30.22,28.64,28.97,29.28,29.61,29.79,29.33
1911,29.43,27.03,30.1,28.66,28.77,30.03,29.81,30.36,30.19,30.32,29.7,30.56,29.12,29.37,29.64,29.65,29.9,29.39
1912,29.91,27.53,30.69,29.18,29.3,30.59,30.33,30.85,30.69,30.77,30.07,31,29.56,29.73,29.99,30.23,30.49,29.88
1913,29.48,27.22,30.31,28.87,28.97,30.13,29.75,30.22,30.1,30.19,29.69,30.59,29.02,29.31,29.6,29.87,30.09,29.57
1914,29.68,27.55,30.55,29.19,29.27,30.32,29.89,30.36,30.2,30.34,29.85,30.75,29.17,29.44,29.74,30.14,30.33,29.78
1915,30.12,27.82,30.92,29.49,29.57,30.76,30.42,30.92,30.75,30.85,30.34,31.27,29.7,29.9,30.2,30.49,30.71,30.22
1916,29.22,26.89,29.98,28.54,28.63,29.84,29.46,29.94,29.79,29.96,29.54,30.42,28.8,29.13,29.41,29.53,29.8,29.42
1917,29.02,26.67,29.72,28.32,28.37,29.58,29.22,29.69,29.5,29.79,29.43,30.28,28.62,29.02,29.33,29.27,29.54,29.26
1918,28.83,26.96,29.75,28.58,28.63,29.41,28.83,29.26,29.12,29.34,29.02,29.85,28.18,28.62,28.93,29.37,29.5,29.02
