Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,29.52,28.59,30.03,31.6,31.63,30.51,29.84,29.29,29.83,29.73,29.37,28.67
1902,29.26,27.95,30.55,31.43,31.67,30.43,29.6,29.52,29.33,29.66,29.65,29.42
1903,28.61,27.85,29.84,30.73,30.75,30.73,29.56,29.73,29.54,28.96,28.63,27.5
1904,27.74,27.64,29.41,29.95,30.21,29.37,28.41,28.57,28.78,28.99,28.28,27.74
1905,29.19,28.8,29.86,30.66,30.94,29.5,28.46,29.06,28.55,28.92,28.67,29.4
1906,28.85,29.74,30.23,31.96,31.25,29.96,29.64,29.49,28.59,28.42,28.28,28.74
1907,28.2,28.15,29.54,30.28,30.87,30.02,28.98,28.7,28.79,29.98,29.58,28.32
1908,28.25,28.25,29.01,30.95,30.25,29.72,29.08,29.14,29.25,29.48,28.35,28.66
1909,28.87,29.21,29.99,30.93,31.09,30.47,28.59,29.87,28.81,29.49,28.52,27.71
1910,28.45,28.45,29.3,30.11,30.34,30.05,29.42,29.28,28.55,28.75,28.67,28.67
1911,28.92,28.14,29.84,30.34,30.42,30.35,28.77,28.91,29.2,29.6,29.18,29.47
1912,28.56,29.52,30.75,31.83,32.01,31.33,29.55,28.88,29.14,29.25,29.2,28.92
1913,29.16,29.14,29.97,30.8,30.56,30.67,28.98,28.74,28.95,28.92,29.15,28.71
1914,28.43,28.34,30.69,31.42,31.59,29.75,29.08,28.93,28.62,29.7,29.96,29.66
1915,29.2,30.35,30.52,32.14,31.29,31.02,30.08,29.43,29.4,29.62,29.81,28.53
1916,28.19,28.83,29.21,30.46,30.22,29.53,29.5,29.39,28.79,29.06,28.87,28.57
1917,27.98,27.8,29.32,30.83,30.25,30.01,28.45,29.24,28.97,28.82,28.45,28.07
1918,26.3,27.24,28.68,30.09,30.88,29.64,28.78,28.49,29.14,28.78,29.35,28.64
1919,29.17,29.33,30.65,31.66,31.52,30.26,28.97,28.51,28.68,29.08,28.67,28.56
1920,28.13,29.44,30.23,30.91,30.79,30.1,28.58,29.69,28.88,29.17,29.04,28.74
1921,28.56,28.41,29.79,30.57,31.17,29.81,29.11,28.64,28.75,28.97,28.33,28.4
1922,28.82,29.05,29.81,31.42,31.05,30.34,28.63,29.12,28.75,29.43,28.84,28.4
1923,27.97,28.5,29.34,30.94,30.46,29.15,29.14,28.65,28.83,29.12,28.68,28.96
1924,28.83,29.04,29.59,31.48,31.52,29.89,28.87,29.06,29.61,29.04,28.31,27.29
1925,28.91,27.78,29.2,30.15,30.85,29.41,28.68,29.41,28.94,28.73,28.92,27.91
1926,27.89,28.9,29.98,31.44,31.57,29.7,29.09,29.02,29.21,28.93,28.67,27.98
1927,27.99,29.13,30.07,31.03,31.01,30.01,29.02,28.93,29.85,29.11,29.06,29.04
1928,29.25,28.7,30.34,30.72,31.31,29.74,29.15,29.8,28.96,28.94,29.16,28.72
1929,27.8,28.84,28.99,30.49,31.09,30.53,28.47,28.47,29.29,28.83,28.63,28.96
1930,28.92,28.92,30.26,31.23,30.54,29.97,29.02,29.31,29.9,30.3,29.53,28.66
1931,29.23,30.25,30.86,31.88,32,30.88,30.02,29.11,29.57,29.02,29.14,28.61
1932,27.51,28.19,29.27,31.29,31.08,30.16,28.98,29.81,29.22,29.44,28.79,28.34
1933,28.44,28.98,29.85,31.55,31.73,30.24,29.24,29.53,29.48,28.88,28.75,28.16
1934,27.75,27.28,29.2,30.09,29.93,30.08,29.03,29.38,28.73,29.17,28.81,28.08
1935,28.49,28.88,30.06,30.97,30.82,30.29,29.26,29.38,28.8,29.66,28.93,28.5
1936,28.26,29.45,29.73,30.78,31.3,30.31,28.99,29,29.2,29.12,29.07,29.52
1937,29.33,29.58,30.66,31.47,31.22,30.63,29.09,29.17,29.47,28.96,29.37,29.34
1938,28.74,28.98,30.27,30.44,30.64,29.78,29.54,30.17,29.9,29.33,28.69,28.65
1939,28.32,28.32,30.05,31.04,30.37,30.44,29.41,29.52,29.57,29.43,29.16,27.44
1940,28.21,28.41,30,31.19,31.6,30.52,29.47,29.26,29.59,29.82,29.63,28.89
1941,28.79,29.16,30.05,30.95,31.34,30.31,29.68,29.8,29.71,29.75,29.49,29.1
1942,28.42,29.27,30.53,31.21,31.28,30.32,29.5,29.55,29.59,29.7,29.3,28.67
1943,28.23,28.78,30.13,30.78,31.22,30,29.42,29.36,29.78,29.56,29.38,28.86
1944,28.72,28.87,29.63,31.02,31.27,30.12,29.5,29.45,29.79,29.78,29.6,28.67
1945,28.39,28.63,29.96,30.84,30.69,30.03,29.52,29.43,29.59,29.26,29.72,28.8
