Year,Philippines,Cordillera Administrative region (CAR),National Capital region (NCR),Region I (Ilocos region),Region II (Cagayan Valley),Region V (Bicol region),Region VI (Western Visayas),Region VII (Central Visayas),Region VIII (Eastern Visayas),Region XIII (Caraga),Autonomous region in Muslim Mindanao (ARMM),Region IX (Zamboanga Peninsula),Region X (Northern Mindanao),Region XI (Davao Region),Region XII (Soccsksargen),Region III (Central Luzon),Region IV-A (Calabarzon),Region IV (Southern Tagalog)
1901,21.04,18.1,22.01,20.06,19.61,23.09,23.33,23.13,23.03,21.33,20.62,22.26,19.56,19.96,20.04,20.87,22.42,22.24
1902,21.03,18.32,22.06,20.27,19.81,23,23.15,22.97,22.87,21.26,20.56,22.17,19.48,19.92,20,21,22.42,22.1
1903,20.88,17.96,21.78,19.88,19.48,22.7,22.92,22.86,22.63,21.31,20.66,22.28,19.58,20.04,20.1,20.66,22.15,21.81
1904,20.27,17.59,21.23,19.48,19.07,22.03,22.18,22.12,21.88,20.59,19.99,21.53,18.81,19.41,19.5,20.15,21.56,21.15
1905,20.42,17.56,21.31,19.46,19.09,22.2,22.44,22.4,22.19,20.84,20.19,21.71,19.07,19.61,19.67,20.22,21.66,21.36
1906,20.73,17.98,21.64,19.87,19.47,22.51,22.75,22.68,22.47,21.08,20.44,22.01,19.32,19.79,19.89,20.55,22,21.68
1907,20.38,17.54,21.19,19.42,19.03,22.1,22.39,22.37,22.11,20.78,20.22,21.76,19.03,19.58,19.68,20.1,21.55,21.36
1908,20.48,17.76,21.4,19.65,19.27,22.19,22.45,22.39,22.15,20.78,20.24,21.74,19.02,19.61,19.74,20.33,21.73,21.39
1909,20.65,17.92,21.55,19.79,19.43,22.37,22.62,22.56,22.33,21,20.43,21.94,19.25,19.8,19.91,20.48,21.88,21.55
1910,20.53,17.87,21.49,19.75,19.36,22.27,22.45,22.37,22.17,20.82,20.25,21.78,19.07,19.62,19.73,20.42,21.82,21.45
1911,20.15,17.7,21.25,19.59,19.18,21.87,21.87,21.76,21.54,20.27,19.83,21.34,18.52,19.17,19.29,20.21,21.55,21.22
1912,20.41,17.84,21.42,19.71,19.31,22.13,22.19,22.09,21.86,20.61,20.18,21.71,18.87,19.5,19.62,20.36,21.74,21.52
1913,20.39,17.78,21.38,19.65,19.26,22.13,22.28,22.2,21.98,20.67,20.1,21.6,18.89,19.5,19.6,20.3,21.71,21.36
1914,20.62,17.85,21.48,19.72,19.34,22.32,22.56,22.52,22.29,21.01,20.42,21.94,19.24,19.8,19.9,20.41,21.83,21.53
1915,21.05,18.44,22,20.3,19.92,22.79,22.97,22.91,22.67,21.33,20.74,22.31,19.57,20.08,20.2,20.95,22.34,21.99
1916,20.67,18.18,21.71,20.03,19.66,22.42,22.57,22.49,22.29,20.91,20.26,21.8,19.14,19.66,19.76,20.66,22.02,21.5
1917,20.37,17.47,21.31,19.35,19,22.21,22.46,22.38,22.2,20.78,20.1,21.62,18.98,19.5,19.57,20.18,21.68,21.34
1918,20.3,17.41,21.28,19.31,18.97,22.18,22.39,22.3,22.16,20.67,19.98,21.49,18.88,19.38,19.47,20.15,21.63,21.21
1919,20.77,17.88,21.73,19.78,19.42,22.62,22.84,22.77,22.59,21.16,20.51,22.06,19.37,19.85,19.92,20.61,22.09,21.77
1920,20.77,17.89,21.69,19.8,19.42,22.59,22.81,22.74,22.53,21.15,20.55,22.11,19.39,19.91,19.99,20.58,22.06,21.74
1921,20.6,17.8,21.52,19.68,19.31,22.36,22.62,22.55,22.32,20.96,20.37,21.91,19.2,19.72,19.81,20.43,21.87,21.57
1922,20.83,17.95,21.73,19.84,19.47,22.63,22.87,22.81,22.61,21.25,20.62,22.19,19.49,20,20.08,20.62,22.09,21.76
1923,20.47,17.72,21.46,19.62,19.24,22.28,22.46,22.36,22.18,20.77,20.21,21.71,18.99,19.55,19.65,20.38,21.82,21.47
1924,20.86,18.05,21.83,19.95,19.55,22.72,22.92,22.84,22.64,21.15,20.63,22.2,19.45,19.85,20.01,20.72,22.19,21.84
1925,20.74,17.86,21.66,19.76,19.37,22.56,22.81,22.76,22.52,21.09,20.55,22.11,19.38,19.85,19.99,20.54,22.04,21.7
1926,20.85,18.04,21.8,19.94,19.53,22.66,22.89,22.82,22.59,21.16,20.61,22.18,19.43,19.9,20.04,20.69,22.15,21.83
1927,20.93,18.07,21.87,19.97,19.57,22.76,23,22.92,22.68,21.27,20.71,22.26,19.54,20.01,20.15,20.75,22.26,21.93
1928,21.11,18.42,22.15,20.33,19.92,22.95,23.12,23.01,22.78,21.34,20.77,22.33,19.62,20.06,20.2,21.06,22.5,22.07
1929,20.64,18.04,21.76,19.94,19.55,22.53,22.64,22.53,22.39,20.88,20.21,21.74,19.09,19.52,19.59,20.67,22.09,21.63
1930,21.01,18.29,22.04,20.2,19.8,22.86,23.04,22.95,22.75,21.22,20.69,22.27,19.53,19.92,20.09,20.94,22.39,21.98
1931,21.37,18.73,22.42,20.61,20.21,23.23,23.41,23.31,23.08,21.54,21.04,22.65,19.88,20.21,20.41,21.34,22.78,22.37
1932,20.98,18.09,21.9,19.98,19.6,22.79,23.07,23.01,22.77,21.34,20.76,22.32,19.63,20.04,20.2,20.77,22.27,21.9
1933,21.18,18.45,22.19,20.36,19.97,23,23.21,23.11,22.88,21.41,20.88,22.45,19.71,20.15,20.32,21.13,22.54,22.11
1934,21.04,18.38,22.12,20.28,19.88,22.89,23.08,22.97,22.77,21.29,20.62,22.18,19.53,19.96,20.08,21.04,22.45,21.91
1935,21.09,18.53,22.22,20.42,20.02,22.95,23.12,22.98,22.78,21.21,20.68,22.26,19.51,19.91,20.1,21.14,22.54,22.07
1936,21.15,18.38,22.2,20.27,19.9,23.03,23.27,23.15,22.94,21.35,20.83,22.45,19.68,20.03,20.23,21.07,22.55,22.16
1937,21.15,18.58,22.26,20.47,20.09,22.99,23.18,23.05,22.85,21.25,20.78,22.39,19.57,19.93,20.12,21.19,22.57,22.19
1938,21.1,18.36,22.1,20.24,19.88,22.95,23.22,23.13,22.91,21.35,20.79,22.41,19.65,19.99,20.15,20.99,22.45,22.07
1939,21.12,18.2,22.09,20.11,19.73,23,23.31,23.21,23,21.44,20.86,22.48,19.74,20.08,20.24,20.95,22.46,22.12
1940,20.9,18.25,21.93,20.14,19.73,22.74,22.9,22.79,22.63,21.08,20.6,22.18,19.38,19.78,19.94,20.86,22.28,21.98
1941,21.02,18.77,22.19,20.63,20.24,22.81,22.82,22.7,22.57,21,20.56,22.07,19.3,19.73,19.9,21.21,22.46,22.04
1942,20.94,18.54,22.09,20.44,20.03,22.78,22.82,22.69,22.57,21,20.46,21.98,19.3,19.73,19.9,21.08,22.39,21.85
1943,20.78,18.05,21.85,19.98,19.55,22.68,22.82,22.69,22.57,20.97,20.45,21.98,19.28,19.68,19.88,20.75,22.2,21.81
1944,20.86,18.22,21.94,20.12,19.71,22.72,22.82,22.69,22.57,21.11,20.46,21.98,19.33,19.86,19.93,20.86,22.28,21.82
1945,20.85,18.08,21.95,20.02,19.59,22.81,22.89,22.72,22.61,21.11,20.46,21.98,19.33,19.86,19.93,20.83,22.32,21.89
1946,21.04,18.62,22.13,20.49,20.09,22.86,22.97,22.85,22.73,21.2,20.53,22.1,19.43,19.9,19.97,21.12,22.42,21.96
