Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.85,19.3,20.24,21.68,22.13,21.92,21.63,21.13,21.44,21.19,20.82,20.17
1902,20.58,18.66,20.76,21.51,22.18,21.84,21.4,21.37,20.94,21.11,21.1,20.92
1903,20.31,19.16,20.4,21.35,22.29,21.94,21.08,20.92,20.52,21.38,20.75,20.46
1904,19.88,19.16,19.81,20.29,20.69,20.45,21.26,20.49,20.9,20.65,20.04,19.58
1905,19.43,18.3,20,21.39,21.84,21.52,20.84,20.57,20.62,20.66,19.58,20.34
1906,19.77,19.78,19.66,21.52,21.96,21.26,20.99,21.17,21.16,21.09,20.17,20.21
1907,19.42,19.08,19.61,20.57,21.19,21.04,20.7,20.44,20.72,20.73,20.75,20.3
1908,20.13,19.65,19.52,20.85,20.8,20.73,20.68,20.93,20.72,20.93,20.27,20.52
1909,20.01,19.48,19.94,21.09,21.11,21.22,20.59,21.13,21.14,21.39,20.65,20.09
1910,19.94,20.06,20.14,20.76,20.91,21.21,20.89,20.87,20.74,20.54,20.24,20.03
1911,19.87,19.2,19.29,20.11,20.66,20.7,20.65,20.68,20.61,20.25,19.67,20.05
1912,19.59,19.28,20.21,20.65,21.72,21.62,20.47,20.51,20.79,20.34,20.04,19.65
1913,19.49,19.25,19.95,20.43,21.08,21.1,20.94,20.75,21.26,20.24,20.06,20.16
1914,18.9,18.89,19.97,21.01,21.56,21.43,21.49,21.44,20.83,20.62,20.62,20.62
1915,19.99,19.36,20.25,21.32,21.7,21.93,21.65,21.75,21.26,21.45,21.06,20.86
1916,20.58,19.75,20.11,20.8,21.07,21.05,21.35,21.48,20.67,20.69,20.11,20.38
1917,19.55,18.95,19.75,20.91,20.83,21.04,20.9,21.03,20.67,20.8,20.24,19.79
1918,18.71,18.6,19.18,20.33,21.38,20.92,21.61,20.62,21.14,21.12,20.18,19.75
1919,19.68,19.61,20.4,21.66,21.78,21.61,21.09,21.42,20.92,20.71,20.35,20.04
1920,19.61,19.52,20.21,21.29,21.43,21.68,21.92,21.06,21.34,20.53,20.76,19.88
1921,19.67,19.63,20.28,20.83,21.13,20.95,21.24,21.35,20.79,20.73,20.75,19.83
1922,20,19.7,20.26,21.21,21.65,21.66,21.3,21.18,21.27,20.74,20.6,20.44
1923,19.8,19.48,19.34,20.78,21.01,21.19,20.95,20.82,21.03,20.51,20.65,20.11
1924,19.78,19.96,20.23,21.24,22.04,21.49,21.25,21.45,20.98,21.45,20.32,20.14
1925,20.39,19.69,20.61,21.2,21.45,21.29,21.43,21.27,21.25,20.45,20.47,19.43
1926,19.4,19.81,19.89,21.21,21.98,21.73,21.36,21.28,21.22,21.18,20.89,20.19
1927,19.97,19.97,20.56,21.22,21.88,21.55,21.2,21.11,21.39,20.92,20.73,20.68
1928,20.61,20.25,20.76,21.38,21.78,21.32,21.54,21.79,21.39,20.98,20.97,20.48
1929,19.46,19.64,20.02,20.98,21.64,21.81,20.98,20.98,21.1,20.82,20.33,19.96
1930,19.85,19.06,20.26,21.32,21.84,21.66,21.91,21.25,21.46,21.41,20.98,21.05
1931,20.73,20.19,20.99,21.73,22.46,22.44,21.73,21.7,21.41,21.51,20.99,20.58
1932,19.64,19.38,20.04,21.41,22.1,21.91,21.31,21.38,21.29,21.35,21.17,20.71
1933,20.21,20.67,20.61,21.71,22.44,21.77,21.42,21.68,21.42,21.05,20.75,20.41
1934,20.3,19.75,20.27,21.44,21.53,21.89,21.61,21.04,21.28,21.29,21.35,20.66
1935,19.28,20.24,21,21.74,21.5,21.89,21.32,21.82,21.17,21.57,21.17,20.4
1936,20.22,20.2,20.19,21.61,22.29,21.77,21.69,21.15,21.14,21.58,20.64,21.35
1937,20.8,20.13,20.76,21.62,21.89,22.08,21.41,21.36,21.21,20.81,20.98,20.78
